"","sID","group","gender","age","righthanded","english","run1Acc","run2Acc","run3Acc","run4Acc","ETPreTR","ETPreUN","ETPostTR","ETPostUN","ErrPreTR","ErrPreUN","ErrPostTR","ErrPostUN","ITPreTR","ITPreUN","ITPostTR","ITPostUN","WM","IQ2","IQ5","IQ9","IQsum","Extrov","Agr","Consc","Neur","Open","PT","FS","EC","PD","NPI","InterDep","InDep","trapBIG","trapIRI","trapNPI","trapSC"
"14","14OA","OA","Female",19,"Yes","No ",85.71429,66.66667,100,85.71429,1.836,2.5787,0.95598,1.2,0.4,0.4,0.2,0.2,0.56229,0.75948,0.34352,0.42519,195,12,15,9,36,3.875,3.3333,2.8889,3.375,3.4,15,26,21,19,5,54,40,0,0,0,0
"15","15OA","OA","Male  ",29,"Yes","Yes",42.85714,75,62.5,66.66667,2.2888,2.318,1.5424,1.2901,0,0.2,0,0.6,1.1861,0.99264,0.5148,0.434,174,11,5,10,26,1.375,3.7778,1.6667,4.5,2.4,6,5,10,10,2,43,44,0,3,0,0
"17","17OA","OA","Female",23,"Yes","Yes",71.42857,85.71429,75,57.14286,2.1464,2.8178,2.3648,2.1416,0,0.1,0.5,0,1.3708,1.8554,1.7024,1.1762,200,12,3,8,23,3.125,4.6667,4.2222,3.375,3.3,26,18,27,10,13,53,41,1,0,0,0
"18","18OA","OA","Female",18,"Yes","Yes",71.42857,100,83.33333,66.66667,2.092,1.5951,1.2728,1.3992,0.4,0.5,0,0,0.79832,0.68966,0.6363,0.47515,175,11,17,10,38,3.375,3.8889,3.3333,3.25,2.2,21,5,24,17,2,48,32,0,0,0,0
"19","19OA","OA","Female",22,"Yes","Yes",85.71429,100,100,85.71429,1.2857,1.8746,1.1936,1.6547,0.3,0.7,0,0.4,0.4654,1.1122,0.48963,0.85033,213,4,13,9,26,3,2.6667,2.8889,3.625,3.9,15,14,15,8,19,40,37,0,0,0,2
"20","20OA","OA","Female",18,"Yes","Yes",71.42857,87.5,100,83.33333,1.691,1.477,1.2696,1.622,0.2,0.2,0,0.2,0.87371,0.63145,0.50696,1.1133,193,5,11,7,23,3.625,3.4444,3.8889,4.75,3.3,26,20,22,22,11,46,38,1,0,0,0
"21","21OA","OA","Male  ",18,"Yes","Yes",75,100,100,100,2.5752,2.0784,1.6184,1.7072,0,0,0,0,1.1465,1.3968,0.7206,1.2998,192,14,9,10,33,2,4.1111,3.6667,3.125,3.3,15,12,19,21,5,42,36,0,1,0,2
"22","22OA","OA","Male  ",18,"Yes","Yes",100,100,85.71429,100,0.85747,0.73795,0.58337,1.1749,0,0.1,0,0.3,0.70966,0.77067,0.44076,0.79095,218,12,17,8,37,2.125,4.2222,3.4444,3.25,3.8,18,15,20,12,5,44,45,0,0,0,0
"23","23OA","OA","Male  ",19,"Yes","Yes",100,100,85.71429,100,1.0115,1.1486,0.744,0.88619,0.1,0.3,0.1,0.1,0.6131,0.67873,0.30128,0.32309,197,14,17,9,40,2.625,3.4444,4,3.75,4,20,20,20,8,23,43,43,0,0,0,1
"24","24OA","OA","Female",27,"Yes","Yes",33.33333,83.33333,100,87.5,2.7893,3.3333,1.5669,2.43,0.4,0.7,0.3,0.1,1.6845,1.5704,1.2171,0.90904,161,11,3,9,23,3.75,4.8889,2.5556,2.875,4.5,26,28,26,7,9,37,49,0,0,0,0
"25","25OA","OA","Female",18,"Yes","No ",66.66667,66.66667,85.71429,71.42857,2.2489,2.4915,1.6535,2.645,0.1,0.3,0.1,0.2,1.1952,1.1692,0.62807,1.518,168,5,10,9,24,3.25,4,3.1111,3.125,3.3,15,18,22,16,7,44,30,0,1,0,1
"26","26OA","OA","Female",19,"Yes","No ",71.42857,100,71.42857,85.71429,3.024,3.264,1.584,2.8864,0.5,0.8,0.1,0.5,1.7195,1.4843,0.67022,1.1795,205,11,7,10,28,1.875,3.6667,3.7778,4.75,3.3,23,20,16,21,12,40,37,2,0,0,1
"28","28OA","OA","Female",19,"Yes","No ",85.71429,75,83.33333,100,3.456,2.342,1.6,1.8727,0.9,0.6,0.1,0.1,1.2469,2.0487,1.0372,1.3868,196,10,6,10,26,3.875,4.6667,3.3333,3.25,4.1,23,22,25,18,2,55,39,0,1,0,0
